,Source User id,Following id
9920,110237213982588182,"[108198374559802294, 7556, 108686685100906342, 108278875503460379, 109878858609562097, 219687, 109313300950366140, 109246567063158286, 109506740411599339, 109259207144483733, 108678048222875064, 109243436863499693, 449871, 107049548544742438, 108193391321283272, 35000, 109257652239591693, 14715, 243307, 490031, 18158, 110233156131411833, 109246199302415148, 108226256966815758, 109362012370149923, 109507342400198166, 413581, 108299780208578416, 344956, 108130375858244497, 108218046328014676, 109254404908680320, 109518849051989345, 109843693952586090, 109502260753916593, 109246670166203753, 109253199563738864, 109253788914180589, 108265691429212665, 848896]"
8243,109258494895990438,"[109304350431465295, 493086, 109304672224860913, 109367267433560508, 109367634172622196, 415197, 17735, 109353744428166559, 519792, 41635, 109998358246027725, 109246950983195476, 108193376617364330, 489140, 109262820993556617, 109306121102455594, 107521203548545349, 119527, 106840603340330099, 220588, 136766, 1099213, 405989, 1364615, 109882966456765473, 109293301835369091, 1323892, 109257982635114466, 109355700962815786, 109292929514346332, 35703, 109332160649392039, 26897, 109338501935306639, 109502260753916593, 1, 13179]"
6590,1296366,"[109251088201008636, 1, 108199754536565684, 109334756019247269, 109699815277310323, 109580848422887828, 109362314918916078, 416896, 109509071616061823, 109321016185588028, 110265399313827726, 109626123113055989, 26657, 108196326530908368, 109393242102117565, 109392921613368788, 109257982635114466, 109314674814868491, 109243371263223446, 110266162634306901, 109338501935306639, 109733763157826450, 1303525, 108454567650796202, 109387287658543773, 109612473491303660, 108207069263858281, 1284699, 109296501352224406, 109335518565548142, 109434213813168000, 109247255215674808, 109520783541316046, 109281789713942343, 109409943051951821, 316043, 109442322095110303, 109361641769017121, 109368314022767580, 108442179766260348]"
321,41635,[]
2678,37283,"[109249658402510624, 109300965844005491, 109245191741397935, 109345523028325685, 110295097122754530, 109280184342503065, 110295030091352744, 110296378499584072, 109269487413382866, 109338841775264837, 109297020287839216, 110295125462208307, 419530, 109543206662440988, 109383728738037339, 109313737880775395, 109390709230475831, 109395271302164695, 109309402786985700, 109360080035848454, 109278215602716498, 109415599926284208, 110280101113754821, 109522290201012109, 593895, 561728, 250050, 239252, 109316050187507699, 108193987656838977, 1382939, 434121, 109248133310260811, 109248100324988115, 109526340618441563, 109243290189241706, 109354783436511408, 110011315614395469, 108025884681942663, 108209934133790482]"
4625,110000966488991678,"[14715, 110141462813480129, 29846, 109241478564406803, 1147, 41055, 12306, 109257410291894351, 409552, 108287386827767308, 109259439334646711, 109241297218361083, 308376, 108458841109311444, 504993, 109303690748759310, 109258027043105017, 109254159383667385, 15500, 109238454469552745, 484701, 109257620228555215, 107570141406354478, 109258879127590709, 108198434953594999, 109243560348533076, 108194361065493387, 109258502249565572, 477510, 46035, 395259, 1263385, 109248564599701054, 108194821340947308, 109237595786922100, 109289732162285804, 568751, 109210140369054781, 109244417040649963, 109253199563738864]"
8328,109312926434105839,"[110306958309737289, 213872, 322617, 510714, 1133484, 41635, 109253594853271941, 108196834675898876, 109496420030655661, 109365741670604977, 110103303850250777, 1133225, 108194698448048379, 471607, 109851922410758138, 1021813, 109423191072807394, 109297280241538513, 108197304357955820, 108190488368547572, 108133380335749142, 108196506779924437, 108193163229606399, 34064, 109362752019399380, 109253075745809751, 39869, 109325728101961326, 109503423426743775, 109297267936822269, 109520526200424877, 109361944639645822, 531473, 473002, 108192901382898604, 508253, 109224415414500824, 425635, 12306, 26897]"
3337,109832884388312174,"[109417479300495238, 110307075874992613, 109634885094555917, 109281996079635550, 109309514671528161, 109430278031817928, 109334135964144124, 109281599484435365, 358251, 109298901244664086, 109389336697407900, 109926572865581197, 108195045916534352, 109258648596740896, 109263992406104589, 109929027475346495, 110306619769926403, 109361363792885901, 109539145515145975, 109368043443100559, 109525661289507153, 109309295160881145, 109860655675869429, 110302885133622690, 110302628687550296, 554367, 110297051239289897, 109848146128193695, 109332421864261534, 109314726158050951, 1238168, 109838829211835228, 108282675770354582, 109470152434394416, 110072776404054200, 110300120091899193, 108641766975041086, 110296499611693977, 109373402999641053, 109427007426750606]"
251,109303569653000884,"[41635, 109245459437280357]"
3973,109246863390341857,"[109512940238834674, 41635, 26897]"
